req_id,area,requirement,priority,source,claimed_status,verified_status,evidence,test_case_ids,gap
CV6,CV & Monitoring,Dataset methodology (source/size/split/justification),P0,docs/todo 4.4 (manuscript),Manuscript gap,Confirmed gap,No dataset methodology document found,,"Manuscript task, not a code gap"
CV7,CV & Monitoring,Algorithm comparison (current vs. alternatives with rationale),P0,docs/todo 4.4 (manuscript),Manuscript gap,Confirmed gap,No comparison table found,,"Manuscript task, not a code gap"
CV8,CV & Monitoring,Camera/hardware requirements spec,P0,docs/todo 4.6 (manuscript),Open (entire section unchecked in docs/todo),Confirmed open,No spec section found,,Genuine open item
CV9,CV & Monitoring,System capacity & load testing (5->10->20->30->50->100),P0,docs/todo 4.7,Open,Confirmed open - never executed,No load-test results anywhere in repo,KE-PERF-001,Procedure specified in 02-test-plan.md section 7. This is the single highest-priority open testing item (finding C-7).
CV10,CV & Monitoring,Proctor locator for flagged examinee,P1,docs/todo section 6 lists as open,Consistency report says 'Not found'; docs/todo section 4 lists it done,FALSE (as 'not found') - it IS implemented,"seat_label field on ExamAssignment, rendered in live-session-card.tsx, unit-tested",KE-EXAM-005,Finding B-5 - both the consistency report and part of docs/todo understate the system here.
CV11,CV & Monitoring,Fixed camera preview widget (no scroll drift),P1,docs/todo 4.9,Marked done in section 4; open in section 6,Not independently confirmed in this pass,proctoring-dock.tsx exists with persisted position,,"Needs a manual visual check per 07-manual-checklists.md - code exists but 'no scroll drift' is a UX claim, not something a code read alone confirms."
CV12,CV & Monitoring,Browser deterrents (right-click/copy/tab detection/fullscreen),P2,docs/todo 4.9,"Consistency report says 'only tab-switch, deterrents NOT implemented'",PARTIALLY FALSE,onContextMenu/onCopy/onCut guards exist in focus-shell.tsx with editable-field carve-out; tab-switch detection also exists. Fullscreen enforcement is genuinely absent (finding E-3).,KE-GEN-002,"Finding B-5. Right-click/copy ARE implemented; fullscreen enforcement is the real remaining gap, not 'deterrents generally'."
CV13,CV & Monitoring,Identity verification uses production-grade face recognition (ArcFace/FaceNet),Implied by manuscript,"README.md, chapter1 background",Claimed via ArcFace/FaceNet references,FALSE under documented setup - falls back to appearance,requirements-identity.txt never installed by requirements.txt or setup-venv.cmd; live verification this pass: active backend=appearance,KE-MON-007,CRITICAL - finding A-5. This is the headline anti-impersonation claim and it silently isn't running as documented.
DOC1,Documentation,RRL on face/gaze/posture/anomaly detection with citations,P0,docs/todo 5.1 (manuscript),In progress / WIP,Confirmed WIP,docs/documentation/chapter1/04-rrl.html tagged WIP in documents-index.json,,Manuscript task
DOC2,Documentation,Continuous testing methodology (dev->pre-deploy->deploy->post-deploy),P0,docs/todo 5.2,Plan exists; execution has not happened,"Confirmed - plan good, execution absent",chapter2/04-system-testing.html self-declares 'has not yet been executed',,This kervy/ folder is the execution instrument - see 02-test-plan.md
DOC3,Documentation,Agile-based WBS rebuild,P1,docs/todo 5.3,Marked done in section 4; open in section 6,Contradiction (finding B-3),"docs/os/data/seed/wbs.json exists (305 nodes) but describes the June-outline timeline, not the post-defense sprints",,Needs team decision on refreshing PM datasets (already flagged by consistency report section 3.2)
DOC4,Documentation,Floor plan / seating / camera-placement diagram,P1,docs/todo 5.3,Open,Confirmed open,Not found anywhere in docs/,,Genuine open item
DOC5,Documentation,Use-case diagram updated for 6 RBAC roles,P1,docs/todo 5.3,Marked done in section 4; open in section 6; partial per consistency report,Needs direct verification,chapter2/graphs/use-case.json exists,,"Open action item: open use-case.json and confirm all 6 roles appear, not just examiner/examinee"
DOC6,Documentation,Six-week deployment plan + pre-deployment validation,P0,docs/todo 5.4,docs/deployment.md exists (marked as manuscript deliverable),"Confirmed - it's an ops runbook, not a deployment-window plan","docs/deployment.md is an infrastructure how-to (env vars, Nginx, Daphne) not a 6-week schedule with validation steps",,The document that exists answers a different question than the one asked. Genuine gap remains.
